Wall time,Step,Value
1714646774.0530143,1475,1.0226000547409058
1714646824.1580887,1500,0.9861999750137329
1714646874.276235,1525,0.8676000237464905
1714646924.7768185,1550,1.0089999437332153
1714646975.3083913,1575,0.9732999801635742
1714647026.7529469,1600,0.895799994468689
1714647077.3090475,1625,0.8863000273704529
1714647128.045739,1650,0.9409000277519226
1714647180.0393584,1675,0.9021999835968018
1714647231.6115909,1700,0.9641000032424927
1714647283.1858957,1725,0.9584000110626221
1714647335.0179248,1750,0.916100025177002
1714647385.9087658,1775,0.8841000199317932
1714647437.037031,1800,0.890500009059906
1714647488.227756,1825,0.9017000198364258
1714647540.0437694,1850,0.9258000254631042
1714647592.427039,1875,0.8406000137329102
1714647644.9203792,1900,0.991100013256073
1714647697.2061896,1925,0.9801999926567078
1714647750.7234538,1950,0.9280999898910522
1714647803.4670422,1975,0.9103000164031982
1714647854.9808657,2000,0.882099986076355
1714648600.128003,2025,0.9262999892234802
1714648651.933691,2050,0.9110999703407288
1714648704.0405102,2075,0.8292999863624573
1714648755.6546614,2100,0.9775999784469604
1714648808.5714064,2125,0.8694999814033508
1714648859.5317912,2150,0.9649999737739563
1714648910.6693656,2175,0.9175999760627747
1714648961.0934894,2200,0.9388999938964844
1714649012.128775,2225,0.8804000020027161
1714649062.7342837,2250,0.9779000282287598
1714649113.1682696,2275,0.9289000034332275
1714649164.257751,2300,0.8673999905586243
1714649216.2896645,2325,0.8906000256538391
1714649266.1782866,2350,0.9490000009536743
1714649315.6459928,2375,0.8924999833106995
1714649366.7712905,2400,0.8805999755859375
1714649418.6729758,2425,0.9089999794960022
1714649467.7892146,2450,0.9043999910354614
1714649517.282933,2475,0.8913999795913696
1714649567.544079,2500,0.8723999857902527
1714649613.939314,2525,0.6816999912261963
1714649658.6590524,2550,0.5733000040054321
1714649703.8868268,2575,0.6498000025749207
1714649749.1356924,2600,0.5860000252723694
1714649794.3180137,2625,0.5925999879837036
1714649839.1320775,2650,0.6365000009536743
1714649884.0061173,2675,0.6302000284194946
1714649929.2953112,2700,0.5432000160217285
1714649974.5801284,2725,0.6269000172615051
1714650020.5137515,2750,0.6442999839782715
1714650065.6284828,2775,0.5756000280380249
1714650110.90402,2800,0.6389999985694885
1714650156.269256,2825,0.6065999865531921
1714650201.5641465,2850,0.6263999938964844
1714650247.0385804,2875,0.636900007724762
1714650293.771144,2900,0.6255999803543091
1714650339.9163847,2925,0.6128000020980835
1714650386.8091161,2950,0.6449999809265137
1714650433.5573053,2975,0.7193999886512756
1714650479.16621,3000,0.6527000069618225
1714651168.504405,3025,0.6550999879837036
1714651214.128734,3050,0.5794000029563904
1714651259.3325655,3075,0.6381000280380249
1714651305.1028664,3100,0.5590000152587891
1714651350.776326,3125,0.6653000116348267
1714651396.5087948,3150,0.6480000019073486
1714651441.792763,3175,0.5710999965667725
1714651487.1733735,3200,0.6176999807357788
1714651532.6172209,3225,0.6069999933242798
1714651578.0150864,3250,0.628600001335144
1714651623.5687795,3275,0.609000027179718
1714651670.084459,3300,0.585099995136261
1714651716.034389,3325,0.6226999759674072
1714651762.4179401,3350,0.6370000243186951
1714651808.4568148,3375,0.6087999939918518
1714651855.0984504,3400,0.6251999735832214
1714651900.9923286,3425,0.57669997215271
1714651947.321823,3450,0.6186000108718872
1714651993.3778558,3475,0.5698999762535095
1714652039.333541,3500,0.5709999799728394
1714652085.3648179,3525,0.6104000210762024
1714652131.479073,3550,0.5839999914169312
1714652177.4521177,3575,0.5462999939918518
1714652223.0251405,3600,0.5999000072479248
1714652268.8264155,3625,0.5774999856948853
1714652314.648465,3650,0.6061000227928162
1714652360.8289983,3675,0.5436000227928162
1714652406.8843722,3700,0.5468000173568726
1714652452.4532645,3725,0.5644999742507935
1714652500.6731052,3750,0.5733000040054321
1714652547.974377,3775,0.5958999991416931
1714652595.4209476,3800,0.3822999894618988
1714652643.561364,3825,0.38760000467300415
1714652691.328859,3850,0.39629998803138733
1714652739.6981838,3875,0.4090999960899353
1714652787.7479513,3900,0.4083999991416931
1714652835.7796376,3925,0.41659998893737793
1714652883.5297587,3950,0.3750999867916107
1714652931.2144709,3975,0.3864000141620636
1714652979.4483054,4000,0.3077999949455261
1714653686.3102593,4025,0.41850000619888306
1714653734.3831832,4050,0.5038999915122986
1714653784.2132878,4075,0.36890000104904175
1714653832.7366982,4100,0.3856000006198883
1714653881.8789823,4125,0.40549999475479126
1714653931.5160384,4150,0.42570000886917114
1714653980.44845,4175,0.4205999970436096
1714654028.9170043,4200,0.3937000036239624
1714654078.3026516,4225,0.4388999938964844
1714654127.0127044,4250,0.4194999933242798
1714654175.2497704,4275,0.4277999997138977
1714654223.5158935,4300,0.37070000171661377
1714654271.3702474,4325,0.4041999876499176
1714654318.4877431,4350,0.43059998750686646
1714654366.695582,4375,0.4666999876499176
1714654415.060493,4400,0.37950000166893005
1714654463.9360259,4425,0.3962000012397766
1714654511.400886,4450,0.4050000011920929
1714654559.0288904,4475,0.374099999666214
1714654606.780981,4500,0.4429999887943268
1714654654.2305646,4525,0.3873000144958496
1714654703.041558,4550,0.4196000099182129
1714654750.8873842,4575,0.4027000069618225
1714654798.8612978,4600,0.38749998807907104
1714654846.6130204,4625,0.44040000438690186
1714654894.504646,4650,0.35659998655319214
1714654942.0938585,4675,0.3538999855518341
1714654989.7596192,4700,0.4018999934196472
1714655037.8531039,4725,0.4341999888420105
1714655085.9973168,4750,0.3736000061035156
1714655134.1901944,4775,0.4058000147342682
1714655181.6834314,4800,0.34790000319480896
1714655228.6474693,4825,0.37470000982284546
1714655276.6045444,4850,0.4140999913215637
1714655324.1363313,4875,0.3817000091075897
1714655371.4314494,4900,0.3982999920845032
1714655418.4451356,4925,0.4366999864578247
1714655465.8143902,4950,0.3874000012874603
1714655513.0198598,4975,0.391400009393692
1714655560.375823,5000,0.40299999713897705
